product_name,brand,category,price,discount_rate,rating,review_count,image_url,source,source_url
브랜든 헬로키티 여행 압축 파우치 L,브랜든,,37000,18.0,5.0,2,https://img.29cm.co.kr/item/202604/11f1439c042923e1bc928f3df893dc2e.jpg,29CM,https://product.29cm.co.kr/catalog/3939375
브랜든 헬로키티 세이프 플러스 월렛백 (블랙),브랜든,,49000,11.0,5.0,3,https://img.29cm.co.kr/item/202605/11f1477f627417c3bc929552ad7f9b71.jpg,29CM,https://product.29cm.co.kr/catalog/3937775
RAW EDGE RUFFLE BLOUSE - WHITE,오데스,블라우스,133200,10.0,0.0,0,https://img.29cm.co.kr/item/202605/11f147cb832132afbc9243daa76c4332.jpg,29CM,https://product.29cm.co.kr/catalog/3970193
[6th] Jersey String Maxi Skirt - Light Gray,체,롱,72100,30.0,5.0,36,https://img.29cm.co.kr/item/202603/11f11e7d0d720f50a3c061fa160f4f68.jpg,29CM,https://product.29cm.co.kr/catalog/3802184
브랜든 헬로키티 다용도 파우치 (블랙),브랜든,,20000,17.0,5.0,5,https://img.29cm.co.kr/item/202604/11f1439c21589ac085ee136d8c22781a.jpg,29CM,https://product.29cm.co.kr/catalog/3939779
RAW HENLEY TANK (4 COLOR),오데스,슬리브리스,43200,10.0,0.0,0,https://img.29cm.co.kr/item/202605/11f147c78a6f741bbc92c9d93473440f.jpg,29CM,https://product.29cm.co.kr/catalog/3970157
"[뉴컬러 Red,Brown] [단독] 사샤 플립플랍 키튼 힐 슬리퍼 [n5288]_6color",누스,,54610,25.0,4.5,233,https://img.29cm.co.kr/item/202604/11f14373f986633a85ee97b2a967cd50.jpg,29CM,https://product.29cm.co.kr/catalog/3252127
3-POCKET SHIRTS - NAVY,오데스,셔츠,151200,10.0,0.0,0,https://img.29cm.co.kr/item/202605/11f149228bd1e3cbbc928df99baae891.jpg,29CM,https://product.29cm.co.kr/catalog/3970198
브랜든 헬로키티 다용도 파우치 (아이보리),브랜든,,20000,17.0,5.0,3,https://img.29cm.co.kr/item/202604/11f1439c137a310fbc9223624e41596d.jpg,29CM,https://product.29cm.co.kr/catalog/3939773
[존경의 마음] DEAR. TEACHERS,워커비,잼/꿀,17280,19.0,5.0,166,https://img.29cm.co.kr/item/202406/11ef26ef9d67f60fbb14e398ed354b71.jpg,29CM,https://product.29cm.co.kr/catalog/1970377
Rose square blouse,위드아웃썸머,상의,105400,15.0,0.0,0,https://img.29cm.co.kr/item/202605/11f1492ae5748a61bc92fbcd004cfc7c.jpg,29CM,https://product.29cm.co.kr/catalog/3946467
REAL TREE COTTON PANTS,오데스,와이드,169200,10.0,0.0,0,https://img.29cm.co.kr/item/202605/11f147cd5ad39757bc92b7f59be02705.jpg,29CM,https://product.29cm.co.kr/catalog/3970218
OVERSIZED TEXTURED SHIRT_GREY,오버듀플레어,상의,113990,23.0,5.0,248,https://img.29cm.co.kr/item/202505/11f035f6ae343868893017e846e917b0.jpg,29CM,https://product.29cm.co.kr/catalog/3295478
RAW EDGE RUFFLE BLOUSE - NAVY,오데스,블라우스,133200,10.0,0.0,0,https://img.29cm.co.kr/item/202605/11f147cb6bc8f0c5bc92e119cd4e4717.jpg,29CM,https://product.29cm.co.kr/catalog/3970191
Sheer Check Roll Up Shirts Red Purple,파르티멘토,셔츠,35530,39.0,5.0,285,https://img.29cm.co.kr/item/202504/11f01c1ba776a2cab13171a05fb2de1a.jpg,29CM,https://product.29cm.co.kr/catalog/3219120
문 슈 OG W - 미드나이트 네이비:검 라이트 브라운:소프트 펄 / IW0955-400,나이키,러닝화,139000,0.0,0.0,0,https://img.29cm.co.kr/item/202604/11f144586dcfed23bc92d76915d3275a.png,29CM,https://product.29cm.co.kr/catalog/3921371
브랜든 헬로키티 세이프 플러스 월렛백 (아이보리),브랜든,,49000,11.0,5.0,3,https://img.29cm.co.kr/item/202605/11f1477f5a394fc5bc92b5687dbd6d8e.jpg,29CM,https://product.29cm.co.kr/catalog/3937774
