db,test,note,avg,min,max,stddev
MySQL,단순조회_ID단건,,4.463,1.631,11.453,1.789
MySQL,필터조회_카테고리+가격범위,,15.181,5.825,48.8,7.655
MySQL,정렬조회_가격낮은순,,14.434,7.909,39.856,5.103
MySQL,정렬조회_리뷰많은순,,15.329,8.164,41.797,5.657
MySQL,집계_브랜드별평균가격,,18.963,10.389,79.083,8.378
MySQL,집계_카테고리별상품수,,7.954,2.451,30.896,4.476
MySQL,복합조건,,4.096,1.302,8.724,1.866
MySQL,인덱스없음_필터조회,인덱스전,12.784,5.371,48.187,5.715
MySQL,인덱스있음_필터조회,인덱스후,10.576,5.513,70.449,7.638
MySQL,인덱스있음_복합조건,인덱스후,4.845,1.477,14.238,1.892
MySQL,JOIN_브랜드통계,,17.376,10.292,37.022,4.703
MySQL,트랜잭션_UPDATE2건,,33.113,18.086,93.926,11.233
MariaDB,단순조회_ID단건,,0.802,0.477,2.345,0.354
MariaDB,필터조회_카테고리+가격범위,,5.902,4.501,16.956,1.811
MariaDB,정렬조회_가격낮은순,,3.851,2.932,8.151,1.075
MariaDB,정렬조회_리뷰많은순,,4.16,3.005,9.864,1.404
MariaDB,집계_브랜드별평균가격,,14.789,10.483,31.963,3.768
MariaDB,집계_카테고리별상품수,,2.889,1.975,7.532,0.982
MariaDB,복합조건,,1.069,0.654,2.52,0.424
MariaDB,인덱스없음_필터조회,인덱스전,5.53,4.425,14.262,1.363
MariaDB,인덱스있음_필터조회,인덱스후,5.497,4.469,9.899,1.045
MariaDB,인덱스있음_복합조건,인덱스후,1.027,0.649,2.938,0.437
MariaDB,JOIN_브랜드통계,,3.725,2.246,9.196,1.328
MariaDB,트랜잭션_UPDATE2건,,11.551,5.344,25.849,3.642
PostgreSQL,단순조회_ID단건,,1.798,0.96,5.615,0.999
PostgreSQL,필터조회_카테고리+가격범위,,5.937,3.853,23.147,2.586
PostgreSQL,정렬조회_가격낮은순,,4.567,2.227,10.298,1.849
PostgreSQL,정렬조회_리뷰많은순,,4.82,2.188,15.894,2.864
PostgreSQL,집계_브랜드별평균가격,,8.061,5.865,21.285,2.47
PostgreSQL,집계_카테고리별상품수,,3.083,1.354,6.912,1.264
PostgreSQL,복합조건,,2.087,1.284,5.668,0.837
PostgreSQL,인덱스없음_필터조회,인덱스전,6.925,3.987,14.764,1.88
PostgreSQL,인덱스있음_필터조회,인덱스후,6.194,3.981,10.255,1.313
PostgreSQL,인덱스있음_복합조건,인덱스후,2.201,1.315,9.935,1.221
PostgreSQL,JOIN_브랜드통계,,6.619,4.478,22.515,2.578
PostgreSQL,트랜잭션_UPDATE2건,,15.318,7.092,33.466,4.705
MongoDB,단순조회_ID단건,,0.418,0.191,1.047,0.211
MongoDB,필터조회_카테고리+가격범위,,4.852,2.475,23.555,2.659
MongoDB,정렬조회_가격낮은순,,14.64,7.825,29.974,3.931
MongoDB,정렬조회_리뷰많은순,,17.015,9.076,42.51,5.022
MongoDB,집계_브랜드별평균가격,,32.788,11.458,91.946,11.985
MongoDB,집계_카테고리별상품수,,19.265,7.048,30.039,4.419
MongoDB,복합조건,,4.742,0.615,12.857,2.631
MongoDB,인덱스없음_필터조회,인덱스전,10.15,2.374,32.638,6.044
MongoDB,인덱스있음_필터조회,인덱스후,15.395,4.076,41.204,6.234
MongoDB,인덱스있음_복합조건,인덱스후,6.712,1.435,10.972,1.823
MongoDB,Lookup_브랜드통계,,49.68,20.767,127.391,21.619
MongoDB,트랜잭션_UPDATE2건,세션없음,3.261,1.157,9.446,1.904
