db,test,note,avg,min,max,stddev
MySQL,단순조회_ID단건,,3.5,1.317,12.413,1.848
MySQL,전체조회,,3705.221,1130.028,7363.266,1737.59
MySQL,필터조회_카테고리+가격범위,,177.897,70.961,321.107,69.864
MySQL,정렬조회_가격낮은순,,110.671,68.124,245.225,38.228
MySQL,정렬조회_리뷰많은순,,134.475,73.878,239.992,47.553
MySQL,집계_브랜드별평균가격,,313.893,144.636,512.069,94.144
MySQL,집계_카테고리별상품수,,34.76,17.026,107.023,19.838
MySQL,복합조건,,9.05,2.477,26.458,4.32
MySQL,인덱스없음_필터조회,인덱스전,174.31,72.203,335.846,73.68
MySQL,인덱스있음_필터조회,인덱스후,151.046,53.543,312.055,71.478
MySQL,인덱스있음_복합조건,인덱스후,5.615,2.437,15.972,2.955
MySQL,JOIN_브랜드통계,,326.561,137.006,562.762,111.302
MySQL,트랜잭션_UPDATE2건,,44.765,19.433,90.277,12.398
MariaDB,단순조회_ID단건,,2.544,0.506,11.022,2.047
MariaDB,전체조회,,1744.226,1175.903,7394.461,788.399
MariaDB,필터조회_카테고리+가격범위,,87.323,50.005,188.056,30.502
MariaDB,정렬조회_가격낮은순,,26.19,17.337,54.135,7.896
MariaDB,정렬조회_리뷰많은순,,32.591,16.856,79.373,12.915
MariaDB,집계_브랜드별평균가격,,351.808,186.092,596.01,108.152
MariaDB,집계_카테고리별상품수,,34.912,17.511,79.695,14.057
MariaDB,복합조건,,8.194,1.89,16.698,3.794
MariaDB,인덱스없음_필터조회,인덱스전,72.883,46.624,137.551,17.228
MariaDB,인덱스있음_필터조회,인덱스후,82.764,51.018,195.434,28.834
MariaDB,인덱스있음_복합조건,인덱스후,8.689,1.976,15.692,3.337
MariaDB,JOIN_브랜드통계,,122.92,75.68,261.743,34.844
MariaDB,트랜잭션_UPDATE2건,,14.008,4.613,33.558,5.997
PostgreSQL,단순조회_ID단건,,4.888,1.434,19.918,3.008
PostgreSQL,전체조회,,1298.098,840.903,1986.178,259.1
PostgreSQL,필터조회_카테고리+가격범위,,63.038,33.728,131.066,17.151
PostgreSQL,정렬조회_가격낮은순,,25.1,11.715,43.025,6.094
PostgreSQL,정렬조회_리뷰많은순,,19.78,12.777,43.91,5.014
PostgreSQL,집계_브랜드별평균가격,,54.693,26.13,111.257,20.485
PostgreSQL,집계_카테고리별상품수,,16.97,6.85,35.206,7.649
PostgreSQL,복합조건,,7.656,1.977,18.871,3.763
PostgreSQL,인덱스없음_필터조회,인덱스전,59.53,32.908,113.539,18.469
PostgreSQL,인덱스있음_필터조회,인덱스후,79.982,38.518,173.52,28.041
PostgreSQL,인덱스있음_복합조건,인덱스후,10.337,2.572,25.341,3.701
PostgreSQL,JOIN_브랜드통계,,60.364,29.683,157.23,26.581
PostgreSQL,트랜잭션_UPDATE2건,,20.948,7.761,41.446,8.89
MongoDB,단순조회_ID단건,,1.735,0.222,4.429,1.154
MongoDB,전체조회,,945.112,449.741,1471.86,258.849
MongoDB,필터조회_카테고리+가격범위,,245.414,93.29,401.248,85.122
MongoDB,정렬조회_가격낮은순,,175.855,82.873,257.155,43.484
MongoDB,정렬조회_리뷰많은순,,188.636,70.268,274.959,58.886
MongoDB,집계_브랜드별평균가격,,434.05,169.877,623.288,123.952
MongoDB,집계_카테고리별상품수,,147.036,64.751,262.352,45.7
MongoDB,복합조건,,287.712,109.293,396.928,79.369
MongoDB,인덱스없음_필터조회,인덱스전,225.012,59.744,408.915,87.525
MongoDB,인덱스있음_필터조회,인덱스후,54.651,19.478,171.83,31.089
MongoDB,인덱스있음_복합조건,인덱스후,15.837,2.799,60.549,10.206
MongoDB,Lookup_브랜드통계,,512.135,181.957,763.599,142.414
MongoDB,트랜잭션_UPDATE2건,세션없음,5.702,0.592,18.649,2.62
