product_name,brand,category,sub_category,price,discount_rate,rating,review_count,tags,description,image_url,source,source_url
[살안타][여름][여리슬림핏] 모닝 썸머 여리 골지 가디건 (4color),쇼퍼랜드,가디건,,15640,15,97.0,40.0,,,https://d3ha2047wt6x28.cloudfront.net/jFBJVymkYIY/pr:NEW_GOODS_THUMB_WEBP/czM6Ly9hYmx5LWltYWdlLWxlZ2FjeS9kYXRhL2dvb2RzLzBlN2JiZjllM2NjNjRhZjZiMDIyYjAxYzcyMGNkNDZmLmdpZg,에이블리,https://m.a-bly.com/goods/67333036
[ 팔뚝커버군살삭제 ] 코지 버튼 골지 가디건 여름 아우터 살안타 살안타템 얇은긴팔 - 7colors,바이유어리,가디건,,22010,15,100.0,11.0,"여름,여름긴팔,긴팔,가디건,골지,골지가디건,여름긴팔가디건,살안타,살안타템,얇은긴팔,여름아우터,여름옷,여름상의,상의,봄상의,봄코디,간절기,커버업,비키니,팔뚝,골지,골지가디건,브이넥,라운드넥,아쿠아블루,블루,네이비,빅사이즈,통통,슬림핏",,https://d3ha2047wt6x28.cloudfront.net/MkNb-Q-MT4g/pr:NEW_GOODS_THUMB_WEBP/czM6Ly9hYmx5LWltYWdlLWxlZ2FjeS9kYXRhL2dvb2RzL2FlZGVkZDBkNjkxY2JlYjYxNGM5YTA4YjY0YmFlZTY0LmdpZg,에이블리,https://m.a-bly.com/goods/66861540
Hina Tencel Long Cardigan 히나 텐셀 롱 가디건,Closets,가디건,,19950,36,91.0,98.0,"가디건,여름,신상,인기,살안템,y2k,ootd,섹시,여리,글램,슬림,휴가,여름휴가,여행,주말,모임,약속,불금,씨스루,바캉스,호캉스,해외여행,햇빛,데일리,데이트,데일리룩,여리여리,긱시크,발레코어,페미닌",,https://d3ha2047wt6x28.cloudfront.net/X5q31oXG4xc/pr:NEW_GOODS_THUMB_WEBP/czM6Ly9hYmx5LWltYWdlLWxlZ2FjeS9kYXRhL2dvb2RzLzNmMmY5MzE1ZjIwY2EyYTQ0MWVkZWVhNGQ2NDBhZWM2LmpwZw,에이블리,https://m.a-bly.com/goods/49736912
[네이비 컬러 5월 11일 예약배송][정품] NICKEL 26 DONKEY ZIP_UP,닉켈하우스,집업/점퍼,,91500,16,100.0,28.0,"후드집업,닉켈하우스,오버사이즈,후드집업추천,학생후드집업",,https://d3ha2047wt6x28.cloudfront.net/8WakWP2G3hk/pr:NEW_GOODS_THUMB_WEBP/czM6Ly9hYmx5LWltYWdlLWxlZ2FjeS9kYXRhL2dvb2RzLzFjZjA2YTU5YjBkOTI3NzgyMWM2ZTYxMGUzYTVlMmYzLmpwZw,에이블리,https://m.a-bly.com/goods/66567055
[NEW컬러][라운드VER][여름][살안타] 썸머 루즈핏 비스코스 슬라브 라운드 니트 가디건 (9color),쇼퍼랜드,가디건,,20310,15,97.0,158.0,,,https://d3ha2047wt6x28.cloudfront.net/_nGq_CyOzwg/pr:NEW_GOODS_THUMB_WEBP/czM6Ly9hYmx5LWltYWdlLWxlZ2FjeS9kYXRhL2dvb2RzLzY1NzYyYzIwZDU1NTQ1ZTFjNzU2Mzk4Nzk1MjYyNTQ3LmdpZg,에이블리,https://m.a-bly.com/goods/47618788
[국내생산고퀄리티] made 프리미엄 엔드 슬릿 트위드 자켓,베니토,자켓,,92000,20,100.0,1.0,"봄,여름,가을,신상,데일리,데일리룩,출근룩,데이트룩,자켓,아우터,봄자켓,여름자켓,트위드자켓,스퀘어넥,반팔자켓",,https://d3ha2047wt6x28.cloudfront.net/YganZ80od9I/pr:NEW_GOODS_THUMB_WEBP/czM6Ly9hYmx5LWltYWdlLWxlZ2FjeS9kYXRhL2dvb2RzLzFmMDMxOTdhOGRjMjgwMzFjMzQ5ZjAwNGZmMGU3YjJjLmdpZg,에이블리,https://m.a-bly.com/goods/67192618
[MD추천/슬림핏] 시호 데일리 후드 집업 - 4color,모디무드,집업/점퍼,,27620,30,100.0,1.0,"아우터,후드,후드집업,집업,슬림,슬림후드집업,슬림핏,골지,골지후드집업,간절기,간절기아우터,긴소매,긴소매후드집업,트레이닝",,https://d3ha2047wt6x28.cloudfront.net/048TM6hfCtA/pr:NEW_GOODS_THUMB_WEBP/czM6Ly9hYmx5LWltYWdlLWxlZ2FjeS9kYXRhL2dvb2RzLzc5NTM2ZTJkZDhmYzUxZTRkNDRhMTlmOWYzZGQzNmQxLmdpZg,에이블리,https://m.a-bly.com/goods/67851462
"[여리여리~/여름필수템] 가볍게 툭 걸치기 좋은, 린넨 썸머 골지 시스루 라운드 크롭 니트 긴팔가디건 (5color)",앤드모어,가디건,,21500,20,95.0,2562.0,"가디건,니트,여름가디건,여름니트,니트가디건,부클가디건,린넨,린넨가디건,고퀄,무지,기본,데일리,출근룩,학생,교복,데이트룩,여친룩,여리,슬림,꾸안꾸,살안타템,살탐방지,여름긴팔,긴팔가디건,필수템,시스루,시스루가디건,시스루긴팔,골지,골지가디건",,https://d3ha2047wt6x28.cloudfront.net/4gT8WI4uEXg/pr:NEW_GOODS_THUMB_WEBP/czM6Ly9hYmx5LWltYWdlLWxlZ2FjeS9kYXRhL2dvb2RzL2YyZjJhM2QxYWJjNjRkMDRmYjk0NDViMGFhYWY3ZGYxLmdpZg,에이블리,https://m.a-bly.com/goods/48773086
NEW컬러[간절기/살안타템] 릴리 여름 골지 라운드 긴팔 가디건 (6color),아모로소,가디건,,23150,17,96.0,4848.0,"여름가디건,살안타템,장마룩,햇빛차단,긴팔가디건,니트가디건,라운드,골지가디건,여름긴팔,여름,휴가룩,여행룩,데일리룩,오피스룩,페미닌,파스텔,가디건,린넨가디건",,https://d3ha2047wt6x28.cloudfront.net/sfoDcCQi1B0/pr:NEW_GOODS_THUMB_WEBP/czM6Ly9hYmx5LWltYWdlLWxlZ2FjeS9kYXRhL2dvb2RzLzIwMjYwMzI2XzE3NzQ0OTkyNjY4MDE1NzltLnBuZw,에이블리,https://m.a-bly.com/goods/22439813
[여름하객룩추천/여름살안타템] 마로니 - set,영앤리치,가디건,,32730,18,100.0,2.0,"드레이프,망사,가디건,세트,소장템",,https://d3ha2047wt6x28.cloudfront.net/buXa98GfxNU/pr:NEW_GOODS_THUMB_WEBP/czM6Ly9hYmx5LWltYWdlLWxlZ2FjeS9kYXRhL2dvb2RzLzcyYWExNzM0ZGNlMDU4NTE2ZjcxNjI4YWQyYTNhYmYwLmdpZg,에이블리,https://m.a-bly.com/goods/67525477
