db,test,note,avg,min,max,stddev
MySQL,단순조회_ID단건,,4.396,1.709,8.671,1.66
MySQL,전체조회,,203.748,100.837,484.709,87.452
MySQL,필터조회_카테고리+가격범위,,25.471,9.863,59.251,12.425
MySQL,정렬조회_가격낮은순,,35.169,10.979,92.308,20.316
MySQL,정렬조회_리뷰많은순,,37.768,13.365,79.328,15.974
MySQL,집계_브랜드별평균가격,,51.241,20.371,107.416,25.434
MySQL,집계_카테고리별상품수,,11.969,3.06,25.207,4.927
MySQL,복합조건,,6.606,1.808,13.807,2.212
MySQL,인덱스없음_필터조회,인덱스전,31.322,9.521,331.354,32.734
MySQL,인덱스있음_필터조회,인덱스후,26.477,9.647,54.731,10.763
MySQL,인덱스있음_복합조건,인덱스후,4.636,1.818,12.64,1.814
MySQL,JOIN_브랜드통계,,39.214,15.703,73.834,13.837
MySQL,트랜잭션_UPDATE2건,,61.678,17.075,123.966,25.083
MariaDB,단순조회_ID단건,,4.089,1.071,7.142,1.382
MariaDB,전체조회,,201.426,86.039,741.124,176.324
MariaDB,필터조회_카테고리+가격범위,,20.653,6.507,49.423,10.126
MariaDB,정렬조회_가격낮은순,,11.737,4.18,29.982,5.818
MariaDB,정렬조회_리뷰많은순,,11.848,4.332,29.561,6.138
MariaDB,집계_브랜드별평균가격,,43.737,19.862,96.218,18.238
MariaDB,집계_카테고리별상품수,,7.715,2.148,22.901,4.932
MariaDB,복합조건,,4.678,1.51,12.633,2.172
MariaDB,인덱스없음_필터조회,인덱스전,19.994,6.032,43.14,9.389
MariaDB,인덱스있음_필터조회,인덱스후,18.092,4.985,47.069,8.955
MariaDB,인덱스있음_복합조건,인덱스후,2.899,1.29,11.489,1.57
MariaDB,JOIN_브랜드통계,,6.03,3.177,12.285,1.682
MariaDB,트랜잭션_UPDATE2건,,15.13,4.964,63.477,9.705
PostgreSQL,단순조회_ID단건,,7.69,1.392,31.697,3.736
PostgreSQL,전체조회,,88.448,64.197,185.479,21.007
PostgreSQL,필터조회_카테고리+가격범위,,8.103,4.947,16.45,2.02
PostgreSQL,정렬조회_가격낮은순,,5.678,2.375,24.152,3.167
PostgreSQL,정렬조회_리뷰많은순,,4.67,2.169,9.677,1.893
PostgreSQL,집계_브랜드별평균가격,,12.249,6.851,43.475,5.625
PostgreSQL,집계_카테고리별상품수,,3.644,1.563,10.801,1.958
PostgreSQL,복합조건,,3.35,1.392,7.474,1.427
PostgreSQL,인덱스없음_필터조회,인덱스전,10.248,6.207,16.867,1.799
PostgreSQL,인덱스있음_필터조회,인덱스후,12.571,4.341,314.345,30.768
PostgreSQL,인덱스있음_복합조건,인덱스후,3.7,1.607,6.561,1.23
PostgreSQL,JOIN_브랜드통계,,9.231,5.159,21.478,2.695
PostgreSQL,트랜잭션_UPDATE2건,,24.421,8.339,58.737,11.675
MongoDB,단순조회_ID단건,,1.264,0.338,3.616,0.533
MongoDB,전체조회,,56.925,34.801,134.547,16.774
MongoDB,필터조회_카테고리+가격범위,,6.04,3.423,23.825,2.422
MongoDB,정렬조회_가격낮은순,,9.688,7.302,14.558,1.472
MongoDB,정렬조회_리뷰많은순,,9.728,6.629,19.569,2.212
MongoDB,집계_브랜드별평균가격,,35.797,20.072,91.673,13.666
MongoDB,집계_카테고리별상품수,,12.449,5.136,32.782,5.249
MongoDB,복합조건,,2.038,0.605,6.018,1.354
MongoDB,인덱스없음_필터조회,인덱스전,4.633,2.477,9.78,1.606
MongoDB,인덱스있음_필터조회,인덱스후,6.198,2.527,17.829,3.272
MongoDB,인덱스있음_복합조건,인덱스후,1.807,0.965,4.345,0.519
MongoDB,Lookup_브랜드통계,,50.984,26.22,104.628,19.681
MongoDB,트랜잭션_UPDATE2건,세션없음,1.979,0.565,7.872,1.735
