product_name,brand,category,price,discount_rate,rating,review_count,image_url,source,source_url
PWC EVERYDAY BALLOON JOGGER PANTS_18COLOR,파르티멘토 우먼,트레이닝,37620,29.0,5.0,1604,https://img.29cm.co.kr/item/202602/11f1065e8d9969e2a540b78b5577ef66.jpg,29CM,https://product.29cm.co.kr/catalog/3334217
[3rd] Loose-fit paper knit [KNSS07KN01]_Cream beige,노운베러,기타 니트,59670,42.0,5.0,39,https://img.29cm.co.kr/next-product/2026/05/08/c27f89b9eaa64d7e931a26973ac6a953_20260508153351.jpg,29CM,https://product.29cm.co.kr/catalog/3896753
83플래그 로고 티셔츠(WHITE) NTS4786WHZ,노티카,반소매 티셔츠,25220,44.0,5.0,129,https://img.29cm.co.kr/item/202604/11f14207cca6977885ee9f87cbe2004d.jpg,29CM,https://product.29cm.co.kr/catalog/2056143
83플래그 로고 티셔츠(라이트멜란지그레이) NTS4786,노티카,반소매 티셔츠,25220,44.0,5.0,12,https://img.29cm.co.kr/item/202605/11f14aa01d07f6e7bc928901c6cee28d.jpg,29CM,https://product.29cm.co.kr/catalog/3865773
[UV차단]덱 트랜싯 자켓(6colors) NJK0926,노티카,바람막이,52400,47.0,5.0,174,https://img.29cm.co.kr/item/202605/11f147546fdd873dbc925d51bd028c03.jpg,29CM,https://product.29cm.co.kr/catalog/3058453
[ARCHIES] 아치스_블랙,아치스,플립플랍,47410,5.0,5.0,3707,https://img.29cm.co.kr/next-product/2023/04/14/b5b6ead2eb374460b0c0acd5c0b25a5f_20230414093328.jpg,29CM,https://product.29cm.co.kr/catalog/1108696
모스트로 파워 & 그레이스Mostro Power & Grace (39982701),푸마,로우탑,31900,82.0,5.0,47,https://img.29cm.co.kr/item/202509/11f099cdc566f70cb56369b697655a48.jpg,29CM,https://product.29cm.co.kr/catalog/3545143
Rose Petal Tee-Olive,비터셀즈,반소매 티셔츠,32340,34.0,5.0,128,https://img.29cm.co.kr/item/202603/11f1242bc584e2adb4938bcefcc9d9c7.jpg,29CM,https://product.29cm.co.kr/catalog/3853196
[장다연 PICK] LOND WAIST TUCK  BLOUSE (Z-BL-4225),아틀리에 나인,블라우스,36750,25.0,5.0,1894,https://img.29cm.co.kr/item/202604/11f1443e2ae7a0a9bc9203b7952e90f1.jpg,29CM,https://product.29cm.co.kr/catalog/2605280
Rose Petal Tee-White,비터셀즈,반소매 티셔츠,32340,34.0,5.0,86,https://img.29cm.co.kr/item/202603/11f1264aa9981dbfb493756198d7a6f4.jpg,29CM,https://product.29cm.co.kr/catalog/3853199
[예빈 Pick]Essential Linen Round Knit Cardigan_CTK231(16color),씨타,카디건,37260,46.0,5.0,23,https://img.29cm.co.kr/item/202604/11f13884aa84bc5885ee8f3ef778f613.jpg,29CM,https://product.29cm.co.kr/catalog/3929541
PWC RIBBED EVERYDAY SHORT SLEEVE TEE_8COLOR,파르티멘토 우먼,반소매 티셔츠,21080,27.0,5.0,470,https://img.29cm.co.kr/item/202602/11f107e298265bd8a540edf76538b259.jpg,29CM,https://product.29cm.co.kr/catalog/3751730
