product_name,brand,category,subcategory,price,discount_rate,rating,review_count,source,source_url,image_url
"[백지헌,도영도영이 PICK💖][COOL] 썸머 카디건_SPCKG24G01",스파오,가디건,여성 패션의류,20180,33,4.8,"12,292",zigzag,https://store.zigzag.kr/app/catalog/products/168873831?browsing_type=NATIVE_BROWSER,https://cf.product-image.s.zigzag.kr/original/d/2026/4/26/25938_202604262027330577_50602.gif?width=400&height=400&quality=80&format=jpeg
[10만장판매/Essential] 릴리스 텐셀 오버핏 셔츠,매니크,셔츠/남방,셔츠/남방/블라우스,25080,56,4.9,"15,615",zigzag,https://store.zigzag.kr/app/catalog/products/160269610?browsing_type=NATIVE_BROWSER,https://cf.product-image.s.zigzag.kr/original/d/2026/3/10/9512_202603101214420492_71938.gif?width=400&height=400&quality=80&format=jpeg
스킨 레이어 핏 파운데이션 (8colors) 🚀직진배송🚀,어바웃톤,파운데이션,베이스메이크업,22000,21,4.8,"14,487",zigzag,https://store.zigzag.kr/app/catalog/products/149419525?browsing_type=NATIVE_BROWSER,https://cf.product-image.s.zigzag.kr/original/d/2026/4/1/14365_202604011025580290_59105.gif?width=400&height=400&quality=80&format=jpeg
[🌸마법보정핏+미친편안함/재구매율1등🏆부츠컷데님독보적1등/누적50만장🌸로우ver+코튼+데님][made]세인트부츠컷데님 - 9color,니썸,부츠컷,데님/청바지,23940,41,4.8,"71,273",zigzag,https://store.zigzag.kr/app/catalog/products/111046579?browsing_type=NATIVE_BROWSER,https://cf.product-image.s.zigzag.kr/original/d/2026/4/29/5875_202604291033480237_75850.gif?width=400&height=400&quality=80&format=jpeg
[소프트얀] 라운드넥 카디건_SPCKG23W01,스파오,가디건,여성 패션의류,29900,17,4.8,"13,345",zigzag,https://store.zigzag.kr/app/catalog/products/167955919?browsing_type=NATIVE_BROWSER,https://cf.product-image.s.zigzag.kr/original/d/2026/3/16/25938_202603161123390854_56612.gif?width=400&height=400&quality=80&format=jpeg
[+반팔💙/하객룩/made] 드멜린 블라우스,리얼코코,블라우스,셔츠/남방/블라우스,25130,52,4.8,"3,986",zigzag,https://store.zigzag.kr/app/catalog/products/160291434?browsing_type=NATIVE_BROWSER,https://cf.product-image.s.zigzag.kr/original/d/2026/4/30/200_202604301740420529_41167.gif?width=400&height=400&quality=80&format=jpeg
[여름청바지👖/3단기장/made] 시그니처 논페이드 데님 팬츠,리얼코코,와이드팬츠,데님/청바지,15210,75,4.7,"3,483",zigzag,https://store.zigzag.kr/app/catalog/products/158971418?browsing_type=NATIVE_BROWSER,https://cf.product-image.s.zigzag.kr/original/d/2026/4/15/200_202604150925140751_23595.gif?width=400&height=400&quality=80&format=jpeg
[문의폭주/오픈할인중] 모덴느 여리핏 프릴디테일 블라우스 - 2 color (무료배송),슬로우앤드,블라우스,셔츠/남방/블라우스,28720,41,,,zigzag,https://store.zigzag.kr/app/catalog/products/169730501?browsing_type=NATIVE_BROWSER,https://cf.product-image.s.zigzag.kr/original/c/16/973/050/169730501-8322211316867819985.gif?width=400&height=400&quality=80&format=jpeg
[+반팔💙/10만장돌파/made] 로셀 라인 셔츠,리얼코코,셔츠/남방,셔츠/남방/블라우스,11610,75,4.6,"15,041",zigzag,https://store.zigzag.kr/app/catalog/products/145426176?browsing_type=NATIVE_BROWSER,https://cf.product-image.s.zigzag.kr/original/d/2026/4/24/200_202604241636090342_89256.gif?width=400&height=400&quality=80&format=jpeg
[🌸사계절필수/인생티♥] made. 솔트 클린 반팔티셔츠 (스탠다드핏/루즈핏) - 7 color,슬로우앤드,반소매티셔츠,티셔츠,12510,58,4.8,"17,032",zigzag,https://store.zigzag.kr/app/catalog/products/141373178?browsing_type=NATIVE_BROWSER,https://cf.product-image.s.zigzag.kr/original/d/2026/3/4/2833_202603041738080511_74905.gif?width=400&height=400&quality=80&format=jpeg
[17%쿠폰][💙여름][직진배송/10만장돌파][MNLB] 퍼퓸 레이스 라인 스트랩 코튼 블라우스,디어먼트,블라우스,셔츠/남방/블라우스,26200,42,4.8,"15,077",zigzag,https://store.zigzag.kr/app/catalog/products/134884542?browsing_type=NATIVE_BROWSER,https://cf.product-image.s.zigzag.kr/original/d/2026/4/1/202_202604010939310140_90813.gif?width=400&height=400&quality=80&format=jpeg
"[MADE]순수 핀터 레이스 굴림 프릴 스판 블라우스 (2color,free/plus)",플랫퍼,블라우스,셔츠/남방/블라우스,51980,24,,,zigzag,https://store.zigzag.kr/app/catalog/products/169528157?browsing_type=NATIVE_BROWSER,https://cf.product-image.s.zigzag.kr/original/d/2026/4/26/2672_202604261852530722_65888.gif?width=400&height=400&quality=80&format=jpeg
[MADE/7color]젠느 투타입 반팔 티셔츠,베이델리,반소매티셔츠,티셔츠,14790,24,4.8,"2,723",zigzag,https://store.zigzag.kr/app/catalog/products/163287572?browsing_type=NATIVE_BROWSER,https://cf.product-image.s.zigzag.kr/original/d/2026/4/24/4600_202604241403090358_85609.gif?width=400&height=400&quality=80&format=jpeg
[MADE/살안타템]실루엣 써머 브이넥 루즈핏 니트,베이델리,브이넥니트,니트/스웨터,20160,35,4.8,"2,144",zigzag,https://store.zigzag.kr/app/catalog/products/160311503?browsing_type=NATIVE_BROWSER,https://cf.product-image.s.zigzag.kr/original/d/2026/3/11/4600_202603111536590312_85865.gif?width=400&height=400&quality=80&format=jpeg
[무료배송/MADE]라미 쉬폰 미니 원피스,메이빈스,미니원피스,원피스,39840,43,,,zigzag,https://store.zigzag.kr/app/catalog/products/169731478?browsing_type=NATIVE_BROWSER,https://cf.product-image.s.zigzag.kr/original/c/16/973/147/169731478-612017400129880965.jpeg?width=400&height=400&quality=80&format=jpeg
[1+1][들뜸ZERO][❄쿨기능성] 심리스 쿨메쉬 브라렛 (볼륨/올데이),에블린,브라,란제리/속옷,50270,37,4.8,"41,644",zigzag,https://store.zigzag.kr/app/catalog/products/167265910?browsing_type=NATIVE_BROWSER,https://cf.product-image.s.zigzag.kr/original/d/2026/4/13/10239_202604131615410918_74642.gif?width=400&height=400&quality=80&format=jpeg
WONT 제인 카프리 팬츠,원로그,반바지,바지,48640,22,,,zigzag,https://store.zigzag.kr/app/catalog/products/169731423?browsing_type=NATIVE_BROWSER,https://cf.product-image.s.zigzag.kr/original/c/16/973/142/169731423-6669935750431127908.gif?width=400&height=400&quality=80&format=jpeg
